ID,Data,Love,Joy,Surprise,Anger,Sadness,Fear,Topic,Domain,is_admin
5454,লকাল বাস ভালো এটা থেকে ,0,0,0,0,1,0,Travel,Youtube,False
22549,কত অভিজানই তো চলে কিন্তু ওয়াসার পানির অভিজান করে না কেন ,0,0,0,0,1,0,Politics,Youtube,False
7033,বিয়ের মহল ছেড়ে তিনি বিস্রাম নিতে চলে যান (৬ নং ছবি )বিয়ের ৫ দিন পর মারা যান এই নব বধু ,0,0,0,1,0,0,Personal,Facebook,False
21114,চাচাজি তো কেবল মাকে ধর্ষণ করেছেন ,0,0,0,0,1,0,Education,Facebook,False
23683,সত্যিকার মানুষ তারাই ভাই ,0,1,0,0,0,0,Personal,Youtube,False
19667,ভালবাসা আরো হাগার গুণ বেড়ে গেল ,1,1,0,0,0,0,Personal,Youtube,False
3182,ভাই নিজের সফটওয়্যার গুলোর প্রচার সহজে করে ফেলছেন ভালোই ,0,1,0,0,0,0,Sports,Youtube,False
6417,স্যার আমি আপনার এই নিয়ম এ স্কুল এ লিখেছিলাম কিন্তূ কেটে দিয়েছে। ,0,0,0,1,0,0,Education,Youtube,False
19041,খেলতে না পারলে এটাই বলে বাংলাদেশ ,0,0,0,1,0,0,Sports,Youtube,False
18001,নিজ হাতে গড়া মোর কাঁচা ঘর ,0,1,0,0,0,0,Personal,Facebook,False
18671,অসাধারণ 👌ধন্যবাদ অমি ভাই সহ পুরো ব্যাচেলর টিম কে ,0,1,0,0,0,0,Entertainment,Youtube,False
27367,বাহ! গানটা তো মজার। 😂 ,0,1,0,0,0,0,Music,Youtube,False
11349,"রানা ভাইরাল হইছে বলে,,,,তার পড়ালেখার খরচ নিতে চাচ্ছো? ",0,0,0,0,1,0,Personal,Youtube,False
8201,আমি বুঝি । আমি যখন কলেজে দ্বিতীয় বর্ষে তখন তো আমি গরিব ছেলেদের আমি কলেজে থাকা ,0,0,0,1,0,0,Personal,Facebook,False
19120,ভালোবাসার আরেক নাম প্রিয় নবী হযরত মুহাম্মদ ( সাঃ)❤ ,1,0,0,0,0,0,Music,Youtube,False
10666,দেশ থেকে চলে এসে এখন আমি যে তার পাশে দাঁড়িয়ে আছি এটা যে সত্যি ,1,1,0,0,0,0,Personal,Facebook,False
9241,একদম বাজে নাটক জমজ ১১ বেশি অর্ধ্যেকেই ব্যাকরাউন্ড ইডিট করা ,0,0,0,0,1,0,Entertainment,Youtube,False
27663,তাদের প্রায় ১শ’ কোটি ব্যবহারকারীর অ্যাকাউন্ট থেকে হ্যাকাররা তথ্য হাতিয়ে নিয়েছে। এক বিবৃতিতে ইয়াহু জানায় ,0,0,1,1,0,1,Politics,Facebook,True
12546,গত কয়েক বছর ধরে আলবেসিলেস্তেদের হয়ে আছেন সেরা ফর্মে। মেসি হিগুয়েইনদের জন্য স্পেস তৈরী করতে যার জুড়ি নেই দলে। ৪। লাভেজ্জি - উইঙ্গার ,0,1,0,0,0,0,Sports,Facebook,False
13565,মাদারচোদ পদ্মা সেতুই বানাইতে দম যায় আর আসে আবার পদ্মার চেয়েও বড় সেতু কি গাজা বিক্রি করে বানাবে?আদিখ্যেতা। 🖕🖕 ,0,0,0,0,1,0,Politics,Youtube,False
18495,"দেশে নির্বাচন ব্যাবস্থা উঠে গিয়ে সিলেকশন ব্যাবস্থার উদ্ভব হয়েছে। বুবু যাকে সিলেক্ট করবে সেই মেয়র, সেই সংসদ সদস্য। আল্লাহ আমাদের দেশকে হেফাজত করুন। ",0,0,0,0,1,0,Politics,Youtube,False
17250,অন্তরে শুধু তুমি ,1,0,0,0,0,0,Personal,Youtube,False
21877,ভালবেসে বিয়ে করেছেন একজন এসিড দগ্ধ নারীকে। সম্প্রতি তাদের কোল জুড়ে এসেছে ফুট ফুটে সন্তান। অলোক প্রমাণ করেছেন মানুষের চেহারাই সব কিছু নয় ,1,1,0,0,0,0,Education,Facebook,False
11055,"যারা এই ব্লগ এ ডিজলাইক দিলো তারা হলো , উগান্ডার বাসিন্দা ",0,0,0,0,1,0,Personal,Youtube,False
15764,ভাই সেরকম গানটা ,0,1,0,0,0,0,Music,Youtube,False
